run;timestamp;sistema;query_id;carga;categoria;metrica;unidade;valor;tempo;num_tuplas;observacao
0;2026-07-02 20:13:21;sistema_giovana;1;Busca de produto por ASIN - 1;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;0.5380;0;cache quente
0;2026-07-02 20:13:21;sistema_giovana;2;Busca de produto por ASIN - 2;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;0.1789;0;cache quente
0;2026-07-02 20:13:21;sistema_giovana;3;Busca de reviews por ASIN - 1;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;21.2738;0;cache quente
0;2026-07-02 20:13:21;sistema_giovana;4;Busca de produtos similares por ASIN - 1;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;0.4465;0;cache quente
0;2026-07-02 20:13:21;sistema_giovana;5;Busca de categorias por ASIN - 1;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;0.3533;0;cache quente
0;2026-07-02 20:13:21;sistema_giovana;51;Busca de produtos por cat_nome - 1;Lookup Simples;tuplas por milissegundos;tp/ms;203.0893984151752;101.3298;20579;cache quente
0;2026-07-02 20:13:21;sistema_giovana;52;Busca de produtos por cat_nome - 2;Lookup Simples;tuplas por milissegundos;tp/ms;205.98287205912996;99.9064;20579;cache quente
0;2026-07-02 20:13:21;sistema_giovana;53;Busca de produtos por cat_nome - 3;Lookup Simples;tuplas por milissegundos;tp/ms;0.01303819280537266;76.6977;1;cache quente
0;2026-07-02 20:13:21;sistema_giovana;54;Busca de produtos por cat_nome - 4;Lookup Simples;tuplas por milissegundos;tp/ms;6.699996909417648;2.9851;20;cache quente
0;2026-07-02 20:13:22;sistema_giovana;55;Busca de produtos por cat_nome - 5;Lookup Simples;tuplas por milissegundos;tp/ms;1.1196238569194086;34.8331;39;cache quente
0;2026-07-02 20:13:22;sistema_giovana;6;Busca de reviews positivos por ASIN - 1;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;26.6909;0;cache quente
0;2026-07-02 20:13:22;sistema_giovana;7;Busca de reviews úteis por ASIN - 1;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;26.3977;0;cache quente
0;2026-07-02 20:13:22;sistema_giovana;8;Busca resumida por ASIN - 1;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;0.4389;0;cache quente
0;2026-07-02 20:13:22;sistema_giovana;9;Busca de produto por ASIN - 3;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;0.1601;0;cache quente
0;2026-07-02 20:13:22;sistema_giovana;10;Busca de produto por ASIN - 4;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;0.2263;0;cache quente
0;2026-07-02 20:13:22;sistema_giovana;56;Busca de produtos por cat_nome - 6;Lookup Simples;tuplas por milissegundos;tp/ms;3.8025089180635194;34.1880;130;cache quente
0;2026-07-02 20:13:22;sistema_giovana;57;Busca de produtos por cat_nome - 7;Lookup Simples;tuplas por milissegundos;tp/ms;203.61930217025525;101.0661;20579;cache quente
0;2026-07-02 20:13:22;sistema_giovana;58;Busca de produtos por cat_nome - 8;Lookup Simples;tuplas por milissegundos;tp/ms;1309.41075768783;368.3634;482339;cache quente
0;2026-07-02 20:13:22;sistema_giovana;59;Busca de produtos por cat_nome - 9;Lookup Simples;tuplas por milissegundos;tp/ms;4.737694273538379;197.9866;938;cache quente
0;2026-07-02 20:13:22;sistema_giovana;60;Busca de produtos por cat_nome - 10;Lookup Simples;tuplas por milissegundos;tp/ms;140.880035162418;218.6186;30799;cache quente
0;2026-07-02 20:13:32;sistema_giovana;1;Busca de produto por ASIN - 1;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;1.0715;0;cache quente
0;2026-07-02 20:13:32;sistema_giovana;2;Busca de produto por ASIN - 2;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;0.2037;0;cache quente
0;2026-07-02 20:13:32;sistema_giovana;3;Busca de reviews por ASIN - 1;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;21.2098;0;cache quente
0;2026-07-02 20:13:32;sistema_giovana;4;Busca de produtos similares por ASIN - 1;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;0.4817;0;cache quente
0;2026-07-02 20:13:32;sistema_giovana;5;Busca de categorias por ASIN - 1;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;0.3438;0;cache quente
0;2026-07-02 20:13:32;sistema_giovana;51;Busca de produtos por cat_nome - 1;Lookup Simples;tuplas por milissegundos;tp/ms;200.312717177293;102.7344;20579;cache quente
0;2026-07-02 20:13:32;sistema_giovana;52;Busca de produtos por cat_nome - 2;Lookup Simples;tuplas por milissegundos;tp/ms;204.2253580504002;100.7661;20579;cache quente
0;2026-07-02 20:13:32;sistema_giovana;53;Busca de produtos por cat_nome - 3;Lookup Simples;tuplas por milissegundos;tp/ms;0.012938010859098851;77.2916;1;cache quente
0;2026-07-02 20:13:32;sistema_giovana;54;Busca de produtos por cat_nome - 4;Lookup Simples;tuplas por milissegundos;tp/ms;7.328938894560008;2.7289;20;cache quente
0;2026-07-02 20:13:32;sistema_giovana;55;Busca de produtos por cat_nome - 5;Lookup Simples;tuplas por milissegundos;tp/ms;1.1615394971509838;33.5761;39;cache quente
0;2026-07-02 20:13:32;sistema_giovana;6;Busca de reviews positivos por ASIN - 1;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;26.5030;0;cache quente
0;2026-07-02 20:13:32;sistema_giovana;7;Busca de reviews úteis por ASIN - 1;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;26.3104;0;cache quente
0;2026-07-02 20:13:32;sistema_giovana;8;Busca resumida por ASIN - 1;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;0.4372;0;cache quente
0;2026-07-02 20:13:32;sistema_giovana;9;Busca de produto por ASIN - 3;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;0.1866;0;cache quente
0;2026-07-02 20:13:32;sistema_giovana;10;Busca de produto por ASIN - 4;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;0.2544;0;cache quente
0;2026-07-02 20:13:32;sistema_giovana;56;Busca de produtos por cat_nome - 6;Lookup Simples;tuplas por milissegundos;tp/ms;3.730482403144686;34.8480;130;cache quente
0;2026-07-02 20:13:32;sistema_giovana;57;Busca de produtos por cat_nome - 7;Lookup Simples;tuplas por milissegundos;tp/ms;203.04188694230484;101.3535;20579;cache quente
0;2026-07-02 20:13:33;sistema_giovana;58;Busca de produtos por cat_nome - 8;Lookup Simples;tuplas por milissegundos;tp/ms;1328.8934523711337;362.9629;482339;cache quente
0;2026-07-02 20:13:33;sistema_giovana;59;Busca de produtos por cat_nome - 9;Lookup Simples;tuplas por milissegundos;tp/ms;4.760507954744105;197.0378;938;cache quente
0;2026-07-02 20:13:33;sistema_giovana;60;Busca de produtos por cat_nome - 10;Lookup Simples;tuplas por milissegundos;tp/ms;140.61018886954545;219.0382;30799;cache quente
0;2026-07-02 20:13:33;sistema_giovana;11;Busca de produto por ASIN - 5;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;0.9825;0;cache quente
0;2026-07-02 20:13:33;sistema_giovana;12;Busca de reviews por ASIN - 2;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;25.8833;0;cache quente
0;2026-07-02 20:13:33;sistema_giovana;13;Busca de reviews por ASIN - 3;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;130.6435;0;cache quente
0;2026-07-02 20:13:33;sistema_giovana;14;Busca de produtos similares por ASIN - 2;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;0.5298;0;cache quente
0;2026-07-02 20:13:33;sistema_giovana;15;Busca de categorias por ASIN - 2;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;0.3877;0;cache quente
0;2026-07-02 20:13:34;sistema_giovana;61;Busca de produtos por cat_nome - 11;Lookup Simples;tuplas por milissegundos;tp/ms;1069.6132569204888;380.9143;407431;cache quente
0;2026-07-02 20:13:34;sistema_giovana;62;Busca de produtos por cat_nome - 12;Lookup Simples;tuplas por milissegundos;tp/ms;181.8562533198103;110.6148;20116;cache quente
0;2026-07-02 20:13:34;sistema_giovana;63;Busca de produtos por cat_nome - 13;Lookup Simples;tuplas por milissegundos;tp/ms;40.23110177898766;87.6436;3526;cache quente
0;2026-07-02 20:13:34;sistema_giovana;64;Busca de produtos por cat_nome - 14;Lookup Simples;tuplas por milissegundos;tp/ms;213.80215203302552;96.2292;20574;cache quente
0;2026-07-02 20:13:34;sistema_giovana;65;Busca de produtos por cat_nome - 15;Lookup Simples;tuplas por milissegundos;tp/ms;39.08001969159869;86.2333;3370;cache quente
0;2026-07-02 20:13:34;sistema_giovana;16;Busca resumida por ASIN - 2;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;1.0251;0;cache quente
0;2026-07-02 20:13:34;sistema_giovana;17;Busca de produto por ASIN - 6;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;0.3053;0;cache quente
0;2026-07-02 20:13:34;sistema_giovana;18;Busca de reviews por ASIN - 4;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;27.1210;0;cache quente
0;2026-07-02 20:13:34;sistema_giovana;19;Busca de reviews por ASIN - 5;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;27.0498;0;cache quente
0;2026-07-02 20:13:34;sistema_giovana;20;Busca de produto por ASIN - 7;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;0.4069;0;cache quente
0;2026-07-02 20:13:34;sistema_giovana;66;Busca de produtos por cat_nome - 16;Lookup Simples;tuplas por milissegundos;tp/ms;715.4005790288581;110.4612;79024;cache quente
0;2026-07-02 20:13:34;sistema_giovana;67;Busca de produtos por cat_nome - 17;Lookup Simples;tuplas por milissegundos;tp/ms;0.9774390349661143;162.6700;159;cache quente
0;2026-07-02 20:13:34;sistema_giovana;68;Busca de produtos por cat_nome - 18;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;142.1306;0;cache quente
0;2026-07-02 20:13:35;sistema_giovana;69;Busca de produtos por cat_nome - 19;Lookup Simples;tuplas por milissegundos;tp/ms;0.3118684935790621;160.3240;50;cache quente
0;2026-07-02 20:13:35;sistema_giovana;70;Busca de produtos por cat_nome - 20;Lookup Simples;tuplas por milissegundos;tp/ms;42.635131843048505;293.8422;12528;cache quente
0;2026-07-02 20:13:35;sistema_giovana;21;Busca de produto por ASIN - 8;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;0.6724;0;cache quente
0;2026-07-02 20:13:35;sistema_giovana;22;Busca de reviews por ASIN - 6;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;31.0718;0;cache quente
0;2026-07-02 20:13:35;sistema_giovana;23;Busca de produto por ASIN - 9;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;0.3890;0;cache quente
0;2026-07-02 20:13:35;sistema_giovana;24;Busca de categorias por ASIN - 3;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;0.2317;0;cache quente
0;2026-07-02 20:13:35;sistema_giovana;25;Busca de produto por ASIN - 10;Lookup Simples;tuplas por milissegundos;tp/ms;6.981923795358783;0.1432;1;cache quente
0;2026-07-02 20:13:35;sistema_giovana;71;Busca de produtos por cat_nome - 21;Lookup Simples;tuplas por milissegundos;tp/ms;31.932159861674016;392.3317;12528;cache quente
0;2026-07-02 20:13:35;sistema_giovana;72;Busca de produtos por cat_nome - 22;Lookup Simples;tuplas por milissegundos;tp/ms;2.6621316450617623;72.4983;193;cache quente
0;2026-07-02 20:13:36;sistema_giovana;73;Busca de produtos por cat_nome - 23;Lookup Simples;tuplas por milissegundos;tp/ms;2321.6531705358384;1002.7549;2328049;cache quente
0;2026-07-02 20:13:37;sistema_giovana;74;Busca de produtos por cat_nome - 24;Lookup Simples;tuplas por milissegundos;tp/ms;0.4097137633861301;109.8328;45;cache quente
0;2026-07-02 20:13:37;sistema_giovana;75;Busca de produtos por cat_nome - 25;Lookup Simples;tuplas por milissegundos;tp/ms;1.1075619902164417;38.8240;43;cache quente
0;2026-07-02 20:13:37;sistema_giovana;26;Busca de reviews por ASIN - 7;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;26.7489;0;cache quente
0;2026-07-02 20:13:37;sistema_giovana;27;Busca de produto por ASIN - 11;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;0.3544;0;cache quente
0;2026-07-02 20:13:37;sistema_giovana;28;Busca de produtos similares por ASIN - 3;Lookup Simples;tuplas por milissegundos;tp/ms;3.3687727990310488;0.2968;1;cache quente
0;2026-07-02 20:13:37;sistema_giovana;29;Busca de reviews por ASIN - 8;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;26.2806;0;cache quente
0;2026-07-02 20:13:37;sistema_giovana;30;Busca de categorias por ASIN - 4;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;0.4970;0;cache quente
0;2026-07-02 20:13:37;sistema_giovana;76;Busca de produtos por cat_nome - 26;Lookup Simples;tuplas por milissegundos;tp/ms;3.8227000248077574;231.2502;884;cache quente
0;2026-07-02 20:13:37;sistema_giovana;77;Busca de produtos por cat_nome - 27;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;131.4626;0;cache quente
0;2026-07-02 20:13:37;sistema_giovana;78;Busca de produtos por cat_nome - 28;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;152.4747;0;cache quente
0;2026-07-02 20:13:37;sistema_giovana;79;Busca de produtos por cat_nome - 29;Lookup Simples;tuplas por milissegundos;tp/ms;201.23097920890135;102.2407;20574;cache quente
0;2026-07-02 20:13:37;sistema_giovana;80;Busca de produtos por cat_nome - 30;Lookup Simples;tuplas por milissegundos;tp/ms;16.432261496855528;227.4793;3738;cache quente
0;2026-07-02 20:13:37;sistema_giovana;31;Busca de produto por ASIN - 12;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;0.4716;0;cache quente
0;2026-07-02 20:13:37;sistema_giovana;32;Busca de reviews por ASIN - 9;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;26.6713;0;cache quente
0;2026-07-02 20:13:37;sistema_giovana;33;Busca de produto por ASIN - 13;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;0.3747;0;cache quente
0;2026-07-02 20:13:37;sistema_giovana;34;Busca de produtos similares por ASIN - 4;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;0.3982;0;cache quente
0;2026-07-02 20:13:38;sistema_giovana;35;Busca de reviews por ASIN - 10;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;26.1791;0;cache quente
0;2026-07-02 20:13:38;sistema_giovana;81;Busca de produtos por cat_nome - 31;Lookup Simples;tuplas por milissegundos;tp/ms;0.11905889987856112;83.9920;10;cache quente
0;2026-07-02 20:13:38;sistema_giovana;82;Busca de produtos por cat_nome - 32;Lookup Simples;tuplas por milissegundos;tp/ms;610.6320290300583;129.4135;79024;cache quente
0;2026-07-02 20:13:38;sistema_giovana;83;Busca de produtos por cat_nome - 33;Lookup Simples;tuplas por milissegundos;tp/ms;0.6823692756596573;36.6371;25;cache quente
0;2026-07-02 20:13:38;sistema_giovana;84;Busca de produtos por cat_nome - 34;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;130.9042;0;cache quente
0;2026-07-02 20:13:38;sistema_giovana;85;Busca de produtos por cat_nome - 35;Lookup Simples;tuplas por milissegundos;tp/ms;1.351606588782439;154.6308;209;cache quente
0;2026-07-02 20:13:38;sistema_giovana;36;Busca de produto por ASIN - 14;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;0.6650;0;cache quente
0;2026-07-02 20:13:38;sistema_giovana;37;Busca de categorias por ASIN - 5;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;0.4250;0;cache quente
0;2026-07-02 20:13:38;sistema_giovana;38;Busca de produto por ASIN - 15;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;0.3235;0;cache quente
0;2026-07-02 20:13:38;sistema_giovana;39;Busca de reviews por ASIN - 11;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;26.1373;0;cache quente
0;2026-07-02 20:13:38;sistema_giovana;40;Busca de produto por ASIN - 16;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;87.8034;0;cache quente
0;2026-07-02 20:13:38;sistema_giovana;86;Busca de produtos por cat_nome - 36;Lookup Simples;tuplas por milissegundos;tp/ms;2.44300429190536;185.4274;453;cache quente
0;2026-07-02 20:13:38;sistema_giovana;87;Busca de produtos por cat_nome - 37;Lookup Simples;tuplas por milissegundos;tp/ms;7.6230987522622;48.2743;368;cache quente
0;2026-07-02 20:13:38;sistema_giovana;88;Busca de produtos por cat_nome - 38;Lookup Simples;tuplas por milissegundos;tp/ms;0.0;85.6048;0;cache quente
